ID,Hstx2,Prdm9,BW,TW,SC,ASY%,GigaMUGA,MiniMUGA,Celk_Chr17ASY%Bara_noceni--080621,FISH 17
29612,CAST,PWD/B6,NA,102,6.2,21.7,gigaMUGA,,29.4,0.5
29613,PWD,CAST/B6,NA,180,26.8,4.9,,,NA,NA
29614,CAST,CAST/B6,NA,193,27.4,3.6,,,NA,NA
29615,PWD,PWD/B6,NA,91,6,40.7,gigaMUGA,,NA,NA
29628,CAST,PWD/B6,NA,117,23,17.3,gigaMUGA,,NA,NA
29629,PWD,PWD/B6,NA,104,8.8,21.7,gigaMUGA,,NA,NA
29630,CAST,PWD/B6,NA,68,0.117,42.5,gigaMUGA,,NA,NA
29631,PWD,CAST/B6,NA,177,32.6,7.3,,,NA,NA
29632,CAST,CAST/B6,NA,132,22.8,4.5,,,NA,NA
29634,CAST,CAST/B6,NA,234,62.5,1.8,,,NA,NA
29640,CAST,CAST/B6,NA,130,18.8,NA,,,NA,NA
29641,CAST,PWD/B6,NA,41,0,71.2,gigaMUGA,,NA,NA
29642,CAST,CAST/B6,NA,175,62.4,2.5,,,NA,NA
29644,PWD,PWD/B6,NA,64,0,70.3,gigaMUGA,,NA,NA
29677,CAST,PWD/B6,NA,49,0.0052,33.9,gigaMUGA,,NA,NA
29678,PWD,CAST/B6,NA,134,32.4,6.5,,,NA,NA
29679,PWD,PWD/B6,NA,67,0,87.2,gigaMUGA,,NA,NA
29680,PWD,PWD/B6,NA,80,1.48,47.2,gigaMUGA,,NA,NA
29681,CAST,CAST/B6,NA,182,57,4,,,NA,NA
29697,PWD,PWD/B6,NA,72,1.23,52.2,gigaMUGA,,NA,NA
29698,CAST,CAST/B6,NA,165,32,0.9,,,NA,NA
29699,CAST,PWD/B6,NA,128,17.2,33.3,gigaMUGA,,NA,NA
29700,PWD,PWD/B6,NA,95,6.6,28.8,gigaMUGA,,37.3,13.7
29801,CAST,PWD/B6,NA,44,0.0278,34.9,,,NA,NA
29802,PWD,PWD/B6,NA,66,0.6,31.7,,,NA,NA
29803,CAST,PWD/B6,NA,36,0.0039,57.8,,,NA,NA
29804,CAST,CAST/B6,NA,153,26.6,0,,,NA,NA
29805,PWD,CAST/B6,NA,224,58,3.6,,,NA,NA
29806,CAST,CAST/B6,NA,145,24.2,1.8,,,NA,NA
29887,CAST,PWD/B6,NA,93,5,38.7,,,NA,NA
29888,PWD,PWD/B6,NA,96,10.2,32.5,gigaMUGA,,20.9,0.5
29889,PWD,CAST/B6,NA,146,24.6,2.6,,,NA,NA
29900,PWD,PWD/B6,NA,72,0.0486,54.7,gigaMUGA,,NA,NA
36319,PWD,PWD/B6,NA,148,23.6,23.3,gigaMUGA,,NA,NA
36320,PWD,PWD/B6,NA,153,41.4,28.9,gigaMUGA,,NA,NA
36321,PWD,CAST/B6,NA,178,50.5,NA,,,NA,NA
36327,CAST,PWD/B6,NA,130,12.4,14.9,gigaMUGA,,NA,NA
36328,PWD,CAST/B6,NA,191,59,NA,,,NA,NA
36329,PWD,CAST/B6,NA,166,32,NA,,,NA,NA
36330,PWD,CAST/B6,NA,164,26.4,NA,,,NA,NA
36331,PWD,CAST/B6,NA,212,89.5,NA,,,NA,NA
36332,CAST,PWD/B6,NA,150,24.4,8.6,gigaMUGA,,12.9,0.5
36333,CAST,CAST/B6,NA,182,40.5,NA,,,NA,NA
36334,CAST,PWD/B6,NA,47,0,78.6,gigaMUGA,,NA,NA
36335,PWD,PWD/B6,NA,78,1.79,49,gigaMUGA,,NA,NA
36336,PWD,CAST/B6,NA,204,46,NA,,,NA,NA
36337,PWD,CAST/B6,NA,197,52.5,NA,,,NA,NA
36338,PWD,CAST/B6,NA,181,34,NA,,,NA,NA
36344,PWD,PWD/B6,NA,82,9.8,40.7,gigaMUGA,,NA,NA
36345,CAST,PWD/B6,NA,88,21.2,22.5,gigaMUGA,,NA,NA
36346,PWD,PWD/B6,NA,132,29.8,24.1,,,NA,NA
36347,PWD,PWD/B6,NA,51,0,92.5,,,NA,NA
36348,PWD,PWD/B6,NA,44,0,71.9,,,NA,NA
36349,CAST,CAST/B6,NA,169,33.5,NA,,,NA,NA
36350,CAST,PWD/B6,NA,49,0,40.3,,,NA,NA
36351,CAST,PWD/B6,NA,92,3.6,28.8,,,NA,NA
36352,PWD,CAST/B6,NA,159,30,NA,,,NA,NA
36353,CAST,CAST/B6,NA,163,23,NA,,,NA,NA
36354,PWD,PWD/B6,NA,78,0.92,46.8,,,NA,NA
36355,PWD,PWD/B6,NA,58,1.76,50.9,,,NA,NA
36356,PWD,PWD/B6,NA,138,25,18.8,,,NA,NA
36357,CAST,PWD/B6,NA,59,0.0573,55.6,,,NA,NA
36358,PWD,PWD/B6,NA,74,0.84,51.3,,,NA,NA
36359,PWD,PWD/B6,NA,57,0,71,,,NA,NA
36375,PWD,PWD/B6,NA,53,0,81.6,,,NA,NA
36376,PWD,PWD/B6,NA,125,16.4,41.2,,,NA,NA
36378,PWD,PWD/B6,NA,130,29.2,32.7,,,NA,NA
36383,CAST,CAST/B6,NA,154,49.2,NA,,,NA,NA
36384,CAST,PWD/B6,NA,43,0,57.3,,,NA,NA
36385,PWD,CAST/B6,NA,164,35.2,NA,,,NA,NA
36386,CAST,PWD/B6,NA,74,0.1128,33.3,,,NA,NA
36387,CAST,CAST/B6,NA,130,29.6,NA,,,NA,NA
36388,PWD,CAST/B6,NA,181,35,NA,,,NA,NA
36389,PWD,CAST/B6,NA,163,31.6,NA,,,NA,NA
36390,PWD,PWD/B6,NA,150,35.2,33.9,,,NA,NA
36411,PWD,CAST/B6,NA,194,34.4,NA,,,NA,NA
36412,PWD,CAST/B6,NA,178,30.4,NA,,,NA,NA
36413,PWD,CAST/B6,NA,165,22.6,NA,,,NA,NA
36414,PWD,PWD/B6,NA,106,4.4,36.1,,,NA,NA
36415,CAST,PWD/B6,NA,90,0.78,27.4,,,NA,NA
36417,PWD,PWD/B6,NA,49,0,85.3,,,NA,NA
36418,CAST,CAST/B6,NA,167,43.4,NA,,,NA,NA
36419,CAST,PWD/B6,NA,78,9.7,26.9,,,NA,NA
36449,PWD,CAST/B6,NA,179,49,NA,,,NA,NA
36474,CAST,PWD/B6,NA,55,0,57.1,,,NA,NA
36475,PWD,CAST/B6,NA,172,32.4,NA,,,NA,NA
36476,CAST,CAST/B6,NA,189,54,NA,,,NA,NA
36477,CAST,PWD/B6,NA,73,1.89,38.2,,,NA,NA
36482,CAST,CAST/B6,NA,136,22.4,NA,,,NA,NA
36483,PWD,PWD/B6,NA,71,0,64.8,,,NA,NA
36488,PWD,PWD/B6,NA,81,4.6,33,,,NA,NA
