id,gUNC29691584,ASY,inferred
78769,C,5,0
36332,C,8.6,0
76881,C,11.8,0
76999,C,14.7,0
36327,C,14.9,0
29628,C,17.3,0
76242,C,18.8,0
76896,C,19.1,0
76325,C,19.2,0
29629,C,21.7,0
76375,C,22,0
76879,C,22,0
76934,C,22.1,0
36319,C,23.3,0
76353,C,24.4,0
76882,C,24.6,0
76802,C,24.8,0
76285,C,25.6,0
76935,C,28.5,0
29700,C,28.8,0
36320,C,28.9,0
76991,C,32,0
29888,C,32.5,0
76291,C,33.1,0
76374,C,33.3,0
29699,C,33.3,0
76866,C,36.7,0
29615,C,40.7,0
36344,C,40.7,0
76351,C,40.8,0
76944,C,41.4,0
76393,C,41.5,0
76901,C,42.4,0
76243,C,45.1,0
76892,C,47.6,0
76350,C,47.7,0
36335,C,49,0
76327,C,52.8,0
29900,C,54.7,0
76880,C,57,0
29641,C,71.2,0
85074,C,NA,0
85075,C,NA,0
85081,C,NA,0
86905,C,NA,0
86929,C,NA,0
86933,C,NA,0
86953,C,NA,0
86956,C,NA,0
86978,C,NA,0
86981,C,NA,0
86988,C,NA,0
86993,C,NA,0
86983,C,NA,0
82006,C,NA,0
82071,C,NA,0
82072,C,NA,0
82075,C,NA,0
82077,C,NA,0
82084,C,NA,0
84617,C,NA,0
84625,C,NA,0
87501,C,NA,0
85079,C,NA,0
85082,C,NA,0
85083,C,NA,0
86921,C,NA,0
82004,C,NA,0
82049,C,NA,0
82083,C,NA,0
84626,C,NA,0
84700,C,NA,0
76864,P,11.2,0
78825,P,17.6,0
29612,P,21.7,0
78770,P,22,0
36345,P,22.5,0
78890,P,24.8,0
76894,P,26.3,0
76347,P,29.4,0
29677,P,33.9,0
76893,P,35,0
78856,P,35.4,0
78884,P,37.2,0
76870,P,37.3,0
78885,P,38.1,0
76865,P,41.4,0
29630,P,42.5,0
76936,P,43.4,0
76869,P,43.5,0
76945,P,47.1,0
29680,P,47.2,0
76286,P,50.7,0
29697,P,52.2,0
78859,P,54,0
76241,P,56.1,0
76313,P,57.3,0
76377,P,58.2,0
76992,P,61.9,0
78887,P,62,0
76903,P,63.2,0
76867,P,64.1,0
76293,P,65.5,0
76392,P,66.9,0
29644,P,70.3,0
36334,P,78.6,0
29679,P,87.2,0
78855,P,88.3,0
85080,P,NA,0
85084,P,NA,0
85086,P,NA,0
85087,P,NA,0
86901,P,NA,0
86903,P,NA,0
86907,P,NA,0
86922,P,NA,0
86928,P,NA,0
86931,P,NA,0
86932,P,NA,0
86954,P,NA,0
86958,P,NA,0
86961,P,NA,0
86966,P,NA,0
86979,P,NA,0
86989,P,NA,0
86984,P,NA,0
86986,P,NA,0
78972,P,NA,0
82008,P,NA,0
82076,P,NA,0
82080,P,NA,0
82082,P,NA,0
84614,P,NA,0
84615,P,NA,0
84616,P,NA,0
84650,P,NA,0
84674,P,NA,0
86957,P,NA,0
82081,P,NA,0
84619,P,NA,0
84653,P,NA,0
84654,P,NA,0
84698,P,NA,0
