id,gUNC31362412,TW,inferred
76286,C,43,0
78890,C,44,0
76327,C,46,0
76377,C,49,0
29677,C,49,0
84615,C,50,0
84698,C,50,0
85081,C,53,0
86986,C,54,0
82076,C,54,0
76903,C,55,0
86922,C,57,0
76350,C,58,0
76880,C,58,0
76347,C,60,0
86903,C,60,0
84654,C,61,0
78884,C,63,0
78855,C,64,0
86931,C,64,0
29644,C,64,0
78859,C,66,0
76894,C,66,0
84614,C,67,0
29630,C,68,0
86966,C,70,0
82080,C,71,0
76865,C,73,0
76866,C,73,0
82071,C,73,0
86932,C,74,0
76313,C,76,0
86979,C,76,0
85086,C,77,0
76802,C,78,0
86981,C,81,0
76936,C,82,0
78885,C,83,0
76242,C,83,0
36345,C,88,0
76374,C,89,0
86907,C,92,0
84616,C,92,0
76325,C,95,0
86928,C,95,0
86933,C,96,0
29888,C,96,0
76882,C,97,0
87501,C,97,0
82084,C,98,0
86983,C,99,0
86921,C,99,0
76896,C,100,0
76881,C,101,0
86988,C,102,0
29612,C,102,0
84653,C,104,0
84626,C,105,0
76944,C,113,0
85080,C,113,0
86957,C,114,0
86958,C,120,0
76879,C,121,0
85079,C,124,0
76999,C,126,0
29699,C,128,0
82004,C,142,0
85082,C,143,0
29641,P,41,0
76945,P,43,0
82082,P,44,0
36334,P,47,0
76992,P,52,0
76867,P,52,0
78887,P,55,0
86984,P,59,0
76392,P,64,0
76241,P,66,0
29679,P,67,0
82008,P,71,0
29900,P,72,0
29697,P,72,0
76393,P,73,0
86901,P,73,0
76291,P,77,0
76293,P,77,0
78856,P,78,0
36335,P,78,0
76285,P,79,0
85084,P,80,0
29680,P,80,0
76991,P,81,0
82075,P,81,0
82083,P,82,0
36344,P,82,0
86954,P,83,0
76243,P,85,0
76901,P,86,0
76892,P,86,0
82006,P,88,0
84650,P,88,0
76869,P,90,0
85075,P,91,0
29615,P,91,0
86953,P,93,0
86993,P,94,0
29700,P,95,0
76893,P,99,0
76351,P,103,0
85074,P,104,0
82077,P,104,0
29629,P,104,0
76870,P,107,0
76934,P,108,0
76353,P,111,0
76935,P,112,0
86929,P,112,0
84674,P,113,0
29628,P,117,0
86956,P,120,0
84617,P,120,0
78825,P,123,0
86905,P,124,0
84700,P,129,0
36327,P,130,0
82072,P,133,0
82049,P,133,0
85087,P,135,0
86989,P,135,0
82081,P,140,0
36319,P,148,0
76375,P,149,0
36332,P,150,0
86978,P,152,0
85083,P,153,0
36320,P,153,0
84625,P,159,0
78769,P,169,0
86961,P,170,0
78972,P,170,0
84619,P,173,0
78770,P,180,0
76864,P,205,0
